2017/01/27 Orbital Tracks
   GMT      SUBLAT    SUBLON  HEADING
00:00:00   33.3741  -31.5336  -999.00
00:00:20   32.1739  -31.2049   192.88
00:00:40   30.9730  -30.8826   192.79
00:01:00   29.7715  -30.5663   192.72
01:28:40   69.3594  -26.3802  -999.00
01:29:00   68.2461  -24.9768   203.85
01:29:20   67.1232  -23.6964   202.82
01:29:40   65.9920  -22.5224   201.90
01:30:00   64.8535  -21.4411   201.06
01:30:20   63.7087  -20.4411   200.31
01:30:40   62.5584  -19.5123   199.63
01:31:00   61.4032  -18.6464   199.02
01:31:20   60.2436  -17.8364   198.45
01:31:40   59.0801  -17.0760   197.94
01:32:00   57.9131  -16.3600   197.47
01:32:20   56.7430  -15.6838   197.04
01:32:40   55.5700  -15.0433   196.65
01:33:00   54.3944  -14.4351   196.29
01:33:20   53.2164  -13.8560   195.95
01:33:40   52.0363  -13.3034   195.65
01:34:00   50.8542  -12.7749   195.36
01:34:20   49.6702  -12.2684   195.10
01:34:40   48.4846  -11.7819   194.86
01:35:00   47.2973  -11.3137   194.64
01:35:20   46.1086  -10.8625   194.43
01:35:40   44.9185  -10.4266   194.24
01:36:00   43.7272  -10.0051   194.06
01:36:20   42.5347   -9.5966   193.89
01:36:40   41.3410   -9.2003   193.74
01:37:00   40.1463   -8.8152   193.60
01:37:20   38.9507   -8.4405   193.47
01:37:40   37.7540   -8.0754   193.34
01:38:00   36.5566   -7.7193   193.23
01:38:20   35.3583   -7.3714   193.12
01:38:40   34.1592   -7.0312   193.02
01:39:00   32.9594   -6.6981   192.93
03:07:20   70.0819   -2.6534  -999.00
03:07:40   68.9758   -1.1590   204.59
03:08:00   67.8590    0.1998   203.48
03:08:20   66.7331    1.4418   202.49
03:08:40   65.5993    2.5823   201.60
03:09:00   64.4585    3.6342   200.80
03:09:20   63.3118    4.6086   200.07
03:09:40   62.1597    5.5148   199.41
03:10:00   61.0029    6.3606   198.81
03:10:20   59.8419    7.1528   198.27
03:10:40   58.6772    7.8973   197.77
03:11:00   57.5091    8.5991   197.32
03:11:20   56.3379    9.2625   196.90
03:11:40   55.1640    9.8915   196.52
03:12:00   53.9876   10.4893   196.17
03:12:20   52.8089   11.0589   195.85
03:12:40   51.6280   11.6029   195.55
03:13:00   50.4452   12.1236   195.27
03:13:20   49.2606   12.6230   195.02
03:13:40   48.0744   13.1030   194.78
03:14:00   46.8867   13.5651   194.56
03:14:20   45.6975   14.0110   194.36
03:14:40   44.5070   14.4417   194.17
03:15:00   43.3152   14.8586   194.00
03:15:20   42.1223   15.2628   193.84
03:15:40   40.9283   15.6551   193.69
03:16:00   39.7332   16.0365   193.55
03:16:20   38.5372   16.4078   193.42
03:16:40   37.3403   16.7697   193.30
03:17:00   36.1426   17.1230   193.19
03:17:20   34.9440   17.4681   193.09
03:17:40   33.7447   17.8058   192.99
03:18:00   32.5447   18.1365   192.90
03:18:20   31.3439   18.4607   192.82
03:18:40   30.1426   18.7788   192.74
03:19:00   28.9407   19.0914   192.67
03:19:20   27.7382   19.3987   192.60
04:47:00   67.4709   25.3625  -999.00
04:47:20   66.3421   26.5678   202.17
04:47:40   65.2058   27.6763   201.31
04:48:00   64.0628   28.7004   200.54
04:48:20   62.9142   29.6502   199.84
04:48:40   61.7605   30.5346   199.20
04:49:00   60.6021   31.3612   198.62
04:49:20   59.4398   32.1363   198.09
04:49:40   58.2738   32.8655   197.61
